Program/Initiative,Year,Title,Artist,Partner,Site Location,Borough,Site Type,Project Type,Latitude,Longitude,Installation,Removal
Special Projects,2025,"My City, My Playground (NYC Art Stop Letters)",Yuke Li,NYC DOT,"Midtown Rest Stop on Park Ave & E 52nd st, 41st Avenue Rest Stop on Vernon Boulevard, Foley Square Rest Stop, Mosholu Parkway Rest Stop on Grand Concourse, and Lincoln Terrace Rest Stop on Eastern Parkway & Buffalo Avenue","Queens, Manhattan, Bronx, and Brooklyn",Sidewalk,Digital Illustration,,,07/26/2025,08/23/2025
Art Partners,2025,A Culture of Resilliency: Hunts Point 1994-2044,Laura James,THE POINT Community Development Corporation,Hunts Point Avenue between Bruckner Boulevard and Garrison Street,Bronx,Bridge Wall,Mural Panels,40.49112,-73.53242,05/19/2025,04/19/2026
Special Projects,2025,NYC Moves (NYC Art Stop Letters),Tou Yia Xiong,NYC DOT,"Elizabeth Street Rest Stop on Forrest Avenue, 41st Avenue Rest Stop on Vernon Boulevard, Rose Hill Rest Stop on Park Ave & E 27th St, Harlem Rest Stop on Adam Clayton Powell Jr Blvd & W 124th St, Poe Park Rest Stop on Grand Concourse, and Classon Avenue R",All boroughs,Sidewalk,Digital Illustration,,,07/26/2025,08/23/2025
Barrier Beautification,2025,Unfurling,Josh Cochran,NYC DOT,Harlem River Driveway between 155th street and John T Brush Stairway (near 158th street),Manhattan,Jersey Barriers,Mural,40.83141,-73.939394,10/22/2025,09/22/2026
Art Partners,2025,Public Address,Alex Strada,Storefront for Art and Architecture and the Department of Cultural Affairs,Various Streetlight poles and drive rails,Manhattan,Streetlight Poles and Drive Rails,Signage,,,10/14/2025,09/14/2026
Art Partners,2025,The Space Between Us,Risha Gorig,Garmax Consulting Co.,Broadway Plaza between 22nd and 21st Streets,Manhattan,Plaza,Sculpture,40.740444,-73.989374,10/06/2025,01/06/2026
Asphalt Art Activations,2025,Playscape,Emily Jo Eldridge,NYC DOT School Safety,44th Avenue between Junction Boulevard and National Street,Queens,Asphalt Pedestrian Space,Asphalt Mural,40.745539,-73.865935,08/14/2025,07/14/2026
Art Partners,2025,Keep It Movin!!,La Guardia Community College Faculty and Students,La Guardia Community College,29th Street between 47th Avenue and Skillman Avenue,Queens,Plaza,Asphalt Mural,,-73.56186,08/04/2025,07/04/2025
Special Projects,2025,Collective Bloom,Acrylicize,NYC DOT,Midtown Rest Stop on Park Ave & E 52nd st,Manhattan,Sidewalk,Interactive Sculpture,,,08/02/2025,08/16/2025
Community Commissions,2025,Ndaal bi (The Vessel),Yafatou Sarr,Concourse House,Grand Concourse and East Fordham Road,Bronx,Bridge,Sculpture,40.862289,-73.89724,07/06/2025,12/06/2025
Art Partners,2025,Art Over the Expressway,Caty Bartholomew,Park Slope Fifth Avenue BID,The overpass fence at 5th Avenue between Prospect Ave and 17th Street over the Prospect Expressway,Brooklyn,Fence,Fiber Art Installation,40.39505,-73.59263,06/15/2025,09/15/2025
Art Partners,2025,Cachitos con Amor/Fragments with Love,Blanka Amezkua,Hudson Yards Hell's Kitchen Alliance,W 36th Street between 11th Avenue and Hudson Boulevard West,Manhattan,Bridge Wall,Wall Mural,40.45246,-74.00016,06/03/2025,05/03/2026
Art Partners,2025,Colors of City Line,Menoara Mazid aka Shurmmi,Bangladeshi American Community Development and Youth Services (BACDYS),Liberty Avenue and 101st Avenue,Brooklyn,Plaza,Asphalt Mural,40.40454,-73.51479,05/17/2025,04/17/2025
Art Partners,2025,Connections,"Will Power, Vince Ballentine, Jodi Dareal, Michela Muserra, and Peach Tao",Thrive Collective and the Atlantic Ave BID,BQE Overpass South Wall at Atlantic Ave and Columbia Street,Brooklyn,Bridge Wall,Mural,40.691532,-73.999238,05/23/2025,04/23/2026
Art Partners,2025,Turning Point,Yuke Li,Union Square Partnership,14th Street between Union Square West/University Place and Union Square East/4th Avenue,Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.735004,-73.991239,05/12/2025,04/12/2026
Special Projects,2025,NYC Art Stop Letters,Caitlin Keegan,NYC DOT,Broadway between 46th and 47th Streets,Manhattan,Car-Free Event,Digital Illustration,40.759081,-73.985215,04/26/2025,04/26/2025
Special Projects,2025,Branching,Ishita Jain,NYC DOT,Various sites citywide,All boroughs,Bus Shelter,Digital Illustration,,,04/21/2025,06/30/2025
Art Partners,2025,Anxiety Flag,Sari Nordman,Korea Art Forum,Lamppost N1127 in Inwood Hill Park,Manhattan,Pedestrian Street Light Pole,Fiber Art Installation,40.874223,-73.919649,04/03/2025,07/25/2025
Special Projects,2024,Aurora Dragon,Singha Hon,NYC DOT Public Realm Unit,Park Row between Frankfort and Worth Streets,Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.71186,-74.00408,10/18/2024,09/18/2025
Arterventions,2024,Strength and Resilience,May Bukowski,Brownsville Community Justice Center (BCJC),Watkins Street and Belmont Avenue,Brooklyn,Asphalt Pedestrian Space,Asphalt Mural,40.4007,-73.54273,10/07/2024,09/07/2024
Asphalt Art Activations,2024,"BX Love, Currents of the Future",Dennis RedMoon Darkeem,NYC DOT Public Realm Unit,Pedestrian spaces on Jennings St,Bronx,Asphalt Pedestrian Space,Asphalt Mural,40.49557,-73.5341,10/05/2024,09/05/2025
Special Projects,2024,Lucky Passage and The Guardian’s Entrance,Isolina Minjeong,NYC DOT Public Realm Unit,Park Row between Frankfort and Pearl Streets,Manhattan,Concrete Barriers and Bridge Stairwell,Barrier Mural and Wall Mural,40.71186,-74.00408,09/27/2024,08/27/2024
Arterventions,2024,So-Le,Madina Masimova and Yoel Langomas,Flint Collective NYC,St. Marks Place between First Avenue and Avenue A,Manhattan,Pedestrian Street Light Pole,Installation,40.726988,-73.983851,09/19/2024,10/01/2024
Arterventions,2024,The Butterfly Mural,Shenna Vaughn,Addisleigh Park Civic Organization,180th Strteet & Murdock Avenue,Queens,Plaza,Asphalt Mural,40.696135,-73.770194,09/12/2024,08/12/2025
Special Projects,2024,Weaving Together,Cynthia Alberto,NYC DOT,"Vernon Boulevard, from 44th Drive to 30th Road, Broadway between Richmond Terrace and Clove Road, East 51st and Park Avenue, Eastern Parkway and Classon Avenue, and East 192 Street and East Kingsbridge Road, Whitehall Terminal Staten Island Ferry",All boroughs,Car-Free Event,Interactive intervention,,,07/27/2024,02/28/2025
Arterventions,2024,Untitled,Evan Bishop,Jerome Gun Hill BID,East Gun Hill and Jerome Avenue,Bronx,Asphalt Pedestrian Space,Asphalt Mural,40.88272,-73.88126,06/13/2024,05/17/2025
Arterventions,2024,Umbrellas,Dennis Darkeem and Naderson Saint-Pierre,Flatbush Nostrand Junction BID,Hillel Place Plaza on Hillel Place between Flatbush Avenue and Kenilworth Place,Brooklyn,Plaza,Intervention,40.37572,-73.56533,06/08/2024,10/14/2024
Arterventions,2024,Thank you for your Service,Josue Mendez,The Office of Council Member Joseph Borelli,the South-bound Richmond Avenue underpass wall between Arthur Kill Road and Drumgoole Road,Staten Island,Concrete Wall,Mural,40.33461,-74.10115,05/17/2024,04/17/2025
Arterventions,2024,Flowing Together,Talisa Almonte,Union Square Partnership,14th Street between Union Square West/University Place and Union Square East/4th Avenue,Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.735004,-73.991239,05/17/2024,04/17/2025
Special Projects,2024,Kelp Parade,Amanda Thackray and Wendell Jeffrey,NYC DOT,Broadway between 22nd Street and 21st Street,Manhattan,,Interactive Sculpture,40.7532,-73.98719,04/20/2024,04/20/2024
Special Projects,2024,EcoHarmony,Natalie Wood,NYC DOT,Broadway between West 38th Street and West 39th Street,Manhattan,,Interactive Sculpture,40.739483,-73.989733,04/20/2024,04/20/2024
Arterventions,2024,26 Blocks of Joy,Various Artists,Alliance for Paseo Park + Make the Road NY,34th Avenue between 69th Street and 94th Street,Queens,Granite Block,Mural,,,03/23/2024,02/22/2025
Asphalt Art Activations,2023,Black Huckleberry,Zara Fina Stasi,NYC DOT Pedestrian Unit,Fleet Place between Flatbush Avenue Extension and Willoughby Street,Brooklyn,Asphalt Pedestrian Space,Asphalt Mural,40.691903,-73.981642,07/18/2023,06/18/2024
Arterventions,2023,Kaleidoscope,Talisa Almonte,31st Ave Open Street Collective,Intersection of 31st Avenue and 34th Street,Queens,Asphalt Pedestrian Space,Asphalt Mural,40.7631,-73.920976,06/08/2023,05/08/2024
Arterventions,2023,Union with the Universe,Vanesa Alvarez,Union Square Partnership,14th Street between Union Square West/University Place and Union Square East/4th Avenue,Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.735004,-73.991239,05/26/2023,04/26/2024
Arterventions,2023,Raindrops,Hive Public Space,Flatbush Nostrand Junction BID,Hillel Place Plaza between Flatbush Avenue and Kenilworth Place,Brooklyn,Plaza,Asphalt Mural,40.632441,-73.94828,05/11/2023,04/11/2024
Special Projects,2022,Summer Streets Art and Culture Hub,Various Artists,NYC DOT,"Lafayette Street and Park Avenue to 109th Street, Central Park North from Fifth Avenue to Adam Clayton Powell Boulevard",Manhattan,Car-Free Event,Various,,,08/01/2022,08/31/2022
Special Projects,2022,Summer Streets Art Stop Illustrations,Ebony Bolt,NYC DOT,"Lafayette Street and Park Avenue to 109th Street, Central Park North from Fifth Avenue to Adam Clayton Powell Boulevard",Manhattan,Car-Free Event,Sculpture,,,08/01/2022,08/31/2022
Asphalt Pedestrian Space,2022,Nature Quilt,Laura Alvarez,Jerome Gun Hill BID,Intersection of Jerome Avenue and East Gun Hill Road,Bronx,Asphalt Pedestrian Space,Asphalt Mural,40.88272,-73.88126,06/04/2022,05/04/2022
Arterventions,2022,Pedestrians,"John Hendrick, JoAnna Mesiti & Xaverian Students",Xaverian High School,South bridge wall at Bay Ridge Avenue and Shore Road,Brooklyn,Bridge,Mural,40.63882,-74.03597,05/31/2022,
Arterventions,2022,Ripples of Peace and Calm,Ji Yong Kim,Union Square Partnership,14th Street Busway between Union Square West/University Place and Union Square East/4th Avenue,Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.73519,-73.99172,05/23/2022,04/23/2022
Arterventions,2022,Spiral of Life,Kickie Chudikova,NYC X Design,Pedestrian Plaza on Old Fulton Street between Water Street and Fulton Street,Brooklyn,Plaza,Sculptural Seating,40.70283,-73.99442,05/11/2022,
Arterventions,2022,Toro del Oro,Enrique Cabrera,Meatpacking BID,Pedestrian plaza along 9th Avenue between W 13th Street and Gansevoort Street,Manhattan,Plaza,Sculpture,40.75604,-73.98694,05/02/2022,
Special Projects,2022,Car-Free Earth Day,Various Artists,NYC DOT,"Broadway, East 17th Street to West 42nd Street, St. Nicholas Avenue, 181st Street to 190th Street, Dyckman Street, Seaman Avenue to Dyckman Marina, Southbound Mosholu Parkway, Van Cortlandt Avenue East to Bainbridge Avenue",Manhattan/Bronx,Car-Free Event,Various,,,04/23/2022,
Arterventions,2022,Nature of Technology,Molly Dilworth,Hudson Square BID,Sidewalk Extension located on Varick Street between Broome Street and Watts Street,Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.72441,-74.00594,04/15/2022,03/15/2023
Arterventions,2022,Here,Santi Flores,Garment District Alliance,Garment District Plazas along Broadway between 37th Street and 41th Street,Manhattan,Plaza,Sculpture,40.75217,-73.98753,04/10/2022,08/29/2022
Arterventions,2022,Sphinx,Fernando Botero,Benrimon Fine Art + Meatpacking BID,Pedestrian plaza along 9th Avenue between W 14th Street and W 13th Street,Manhattan,Plaza,Sculpture,40.74088,-74.00516,03/08/2022,04/19/2022
Arterventions,2021,Rotational Garden,Combo Colab (Carolina Cisneros &Mateo Pinto) + Queens Botanical Gardens,"Howard Beach Civic Association, Inc",Lindenwood Roundabout at 153rd Avenue and 88th Street,Queens,Roundabout,Sculpture,,,06/24/2021,05/24/2022
Arterventions,2019,FlipNYC,Beam Center Collective,DUMBO BID,Pearl Street Triangle on Pearl Street between Water Street and Front Street,Brooklyn,Plaza,Sculpture,40.702992,-73.987702,06/06/2019,05/01/2020
Art Display Case Exhibits,2019,"Visual Impact:On Art, AIDS, and Activism",Various Artists,NYC AIDS Memorial Park,NYC AIDS Memorial Park at St. Vincent’s Triangle on 7th Avenue between Greenwich Avenue and W 12th Street,Manhattan,Sidewalk,Vinyl,40.737111,-74.001093,05/31/2019,12/31/2019
Community Commissions,2019,Magic Carpet,Soonae Tark,Sunnyside Shines Business Improvement District,46th Street and Queens Blvd.,Queens,Plaza,Ground Vinyl,40.743252,-73.918738,05/13/2019,04/13/2020
Arterventions,2019,Active Art,Brittany Baldwin,Jamaica Center BID,Parsons Boulevard between Jamaica Avenue and Archer Avenue,Queens,Sidewalk,Vinyl Mural,40.702918,-73.800159,05/07/2019,04/07/2020
Arterventions,2019,Common Ground,Risa Puno,Hudson Square BID,Hudson Street and King Street,Manhattan,Sidewalk,Sculpture,40.728149,-74.007401,05/01/2019,04/01/2019
Arterventions,2019,Field’s Jax II,Fitzhugh Karol,DUMBO BID,Jay Street and Prospect Street,Brooklyn,Sidewalk,Sculpture,40.700616,-73.987194,04/24/2019,03/24/2020
Arterventions,2019,Field’s Jax III,Fitzhugh Karol,DUMBO BID,Front Street and York Street,Brooklyn,Sidewalk,Sculpture,40.70254,-73.991676,04/24/2019,03/24/2020
Arterventions,2019,Life Without Tragedy,Kostis Velonis,Onassis Foundation/Village Alliance,Astor Place Plaza on E 8th Street between Cooper Square and Lafayette Street,Manhattan,Plaza,Sculpture,40.729885,-73.991135,04/08/2019,04/30/2019
Arterventions,2019,All Power to All People,Hank Willis Thomas,The Africa Center,110th Street and 5th Avenue,Manhattan,Sidewalk,Sculpture,40.796481,-73.949048,04/03/2019,07/07/2019
Community Commissions,2019,Moment of Gratitude,Emily Caisip,DUMBO BID,Front Street between Adams Street & Pearl Street,Brooklyn,Fence,Mural,40.702469,-73.987982,03/27/2019,02/27/2020
Community Commissions,2019,Focused at Infinity,Emily Lambert,National Lighthouse Museum,St. George Ferry Terminal Walkway on Bay Street,Staten Island,Concrete Wall,Vinyl Mural,40.644174,-74.07255,02/13/2019,01/13/2020
